Year,Region,Revenue(Millions),,,,,,,,,,,,,,
2015,Americas,2409,,,,,,,,,,,,,,
2015,EMEA,1741,,,,,,,,,,,,,,
2015,Asia Pacific,514,,,,,,,,,,,,,,
2016,Americas,3423,,,,,,,,,,,,,,
2016,EMEA,2221,,,,,,,,,,,,,,
2016,Asia Pacific,964,,,,,,,,,,,,,,
2017,Americas,3607,,,,,,,,,,,,,,
2017,EMEA,2464,,,,,,,,,,,,,,
2017,Asia Pacific,946,,,,,,,,,,,,,,
2018,Americas,3880,,,,,,,,,,,,,,
2018,EMEA,2618,,,,,,,,,,,,,,
2018,Asia Pacific,1002,,,,,,,,,,,,,,
2019,Americas,3341,,,,,,,,,,,,,,
2019,EMEA,2239,,,,,,,,,,,,,,
2019,Asia Pacific,909,,,,,,,,,,,,,,
2020,Americas,4434,,,,,,,,,,,,,,
2020,EMEA,2680,,,,,,,,,,,,,,
2020,Asia Pacific,972,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
